orden;sitios;codigo;fecha;año;campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
22;Escollera de Propaneros;AV054;19/5/2021;2021;otoño;16.8;14.5;3.76;7.48;Ausencia;Ausencia;Ausencia;Ausencia;180000;70000;500;3.9;3.9;0.77;0.77;6.7;15;36;65;;<0.005;<0.001;<10.000;34;Extremadamente deteriorada
22;Escollera de Propaneros;AV054;25/8/2021;2021;invierno;15.4;12.6;2.16;7.05;Ausencia ;Ausencia ;Ausencia ;Ausencia ;42000;1000;800;<2.0;2.3;0.65;0.71;4.2;32;22;<100;<0.005;<0.001;<0.010;<0.20;38;Extremadamente deteriorada
22;Escollera de Propaneros;AV054;27/10/2021;2021;primavera;21.4;28;4.24;6.85;Ausencia;Ausencia;Ausencia;Ausencia;1000;100;190;<2.0;1;0.25;0.28;2.7;73;14;<100;<0.005;<0.001;0.00119;<0.20;53;Muy deteriorada
23;Polo Petroquímico Dock Sud;AV051;24/2/2021;2021;verano;25.3;no se midió;4.77;6.61;Ausencia;Ausencia;Ausencia;Ausencia;2000;1320;450;4.3;0.36;1;0.44;<2.0;<30;45;<100;<5.0;<0.001;0;<0.15;45;Muy deteriorada
23;Polo Petroquímico Dock Sud;AV051;19/5/2021;2021;otoño;16.2;14.5;5.95;7.79;Ausencia;Ausencia;Ausencia;Ausencia;5000;2400;60;3.6;3.3;0.33;0.33;6;5.2;<30;80;<100;<0.005;<0.001;<10.000;48;Muy deteriorada
23;Polo Petroquímico Dock Sud;AV051;25/8/2021;2021;invierno;15.1;12.8;3.76;7.11;Ausencia ;Ausencia ;Ausencia ;Ausencia ;40000;3000;20;2.2;2;0.61;0.56;3.3;<30;13;<100;<0.005;<0.001;<0.010;<0.20;40;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;27/10/2021;2021;primavera;23.9;28;4.59;6.76;Ausencia;Ausencia;Ausencia;Ausencia;2000;100;100;<2.0;1.5;0.25;0.29;2.4;52;15;<100;<0.005;<0.001;<0.01;<0.20;52;Muy deteriorada
24;Arroyo Sarandí;AV052;24/2/2021;2021;verano;25.5;no se midió;3.22;6.87;Ausencia;Ausencia;Ausencia;Ausencia;10000;3200;600;4;1.6;0.98;0.46;6.4;<30;32;<100;<5.0;<0.001;0.005;<0.15;39;Extremadamente deteriorada
24;Arroyo Sarandí;AV052;19/5/2021;2021;otoño;16.2;14.5;4.67;7.69;Ausencia;Ausencia;Ausencia;Ausencia;9000;6400;600;3.4;2.7;0.48;0.48;7.4;7.1;30;75;<100;0.005;<0.001;<10.000;41;Extremadamente deteriorada
24;Arroyo Sarandí;AV052;25/8/2021;2021;invierno;14.8;12.8;3.7;7.04;Ausencia ;Ausencia ;Ausencia ;Ausencia ;60000;3000;100;2.1;2.2;0.73;0.63;4.8;30;11;<100;0.0057;<0.001;0.018;<0.20;38;Extremadamente deteriorada
24;Arroyo Sarandí;AV052;27/10/2021;2021;primavera;21.4;29.1;4.82;6.82;Ausencia;Ausencia;Ausencia;Ausencia;2000;1000;200;<2.0;0.1;0.35;0.38;3.5;<30;13;<100;<0.005;<0.001;<0.01;<0.20;50;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;24/2/2021;2021;verano;25.6;no se midió;2.46;6.97;Ausencia;Ausencia;Ausencia;Ausencia;1500;100;370;3.7;1.5;0.74;0.48;9.5;<30;34;<100;<5.0;<0.001;0;<0.15;47;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;19/5/2021;2021;otoño;16.7;14.5;3.6;7.7;Ausencia;Ausencia;Ausencia;Ausencia;25000;6000;70;3.1;2.6;0.55;0.55;4.9;5;34;60;<100;<0.005;<0.001;<10.000;39;Extremadamente deteriorada
25;Costa de Villa Domínico     ;AV055;25/8/2021;2021;invierno;14.6;12.8;3.73;7.07;Ausencia ;Ausencia ;Ausencia ;Ausencia ;3000;1500;300;<2.0;3.1;0.75;0.7;10;32;10;<100;<0.005;<0.001;<0.010;<0.20;46;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;27/10/2021;2021;primavera;25;29.1;4.24;6.94;Ausencia;Ausencia;Ausencia;Ausencia;6000;200;100;2.2;0.4;0.36;0.41;3.7;37;12;<100;<0.005;<0.001;0.00831;<0.20;47;Muy deteriorada
26;Arroyo Santo Domingo;AV053;24/2/2021;2021;verano;26.1;no se midió;2.21;7.21;Ausencia;Ausencia;Ausencia;Ausencia;40000;39000;1300;2.8;23;0.82;0.79;9.1;<30;21;no se midió;7.4;<0.001;0;no se midió;36;Extremadamente deteriorada
26;Arroyo Santo Domingo;AV053;19/5/2021;2021;otoño;16.7;14.5;3.41;7.71;Ausencia;Ausencia;Ausencia;Ausencia;32000;9000;40;3.1;2.9;0.61;0.61;8.5;5.1;<30;50;<100;<0.005;<0.001;<10.000;38;Extremadamente deteriorada
26;Arroyo Santo Domingo;AV053;25/8/2021;2021;invierno;14.7;12.8;5.83;7.21;Ausencia ;Ausencia ;Ausencia ;Ausencia ;400;200;27;2.3;2.7;0.63;0.63;6.5;31;21;<100;<0.005;<0.001;<0.010;<0.20;59;Muy deteriorada
26;Arroyo Santo Domingo;AV053;27/10/2021;2021;primavera;26;29.1;0.74;6.96;Ausencia;Ausencia;Ausencia;Ausencia;>100000;50000;2100;<2.0;3.1;0.75;0.76;14;43;10;<100;<0.005;<0.001;0.04331;<0.20;34;Extremadamente deteriorada
27;Espora 400 m;QU061;24/2/2021;2021;verano;24.9;18;4.84;7.36;Ausencia;Ausencia;Ausencia;Ausencia;1800;520;90;4;1.5;1.2;0.51;no se midió;<30;23;<100;<5.0;<0.001;0.027;<0.15;45;Muy deteriorada
27;Espora 400 m;QU061;19/5/2021;2021;otoño;14.5;11;8.65;7.47;Ausencia;Ausencia;Ausencia;Presencia;6000;1000;20;3.8;1.4;0.87;0.87;8.9;12;<30;50;<100;<0.005;<0.001;<10.000;44;Extremadamente deteriorada
27;Espora 400 m;QU061;25/8/2021;2021;invierno;14.5;7;9.29;7.29;Ausencia;Ausencia;Ausencia;Presencia;12000;50;5;3.2;0.1;0.52;0.41;6.6;<30;29;<100;<0.005;<0.001;<0.010;<0.20;49;Muy deteriorada
27;Espora 400 m;QU061;27/10/2021;2021;primavera;23.1;28;8.83;7.43;Presencia;Ausencia;Ausencia;Ausencia;4000;500;5;<2.0;0.8;0.24;0.53;6.2;37;9.9;<100;<0.005;<0.001;0.02017;<0.20;50;Muy deteriorada
28;Náutico 400 m;QU062;24/2/2021;2021;verano;20.8;18;7.17;7.57;Ausencia;Ausencia;Ausencia;Ausencia;3800;1000;180;4.4;1.2;0.98;0.49;no se midió;<30;22;<100;<5.0;<0.001;0.04;<0.15;44;Extremadamente deteriorada
28;Náutico 400 m;QU062;19/5/2021;2021;otoño;14;11;6.99;7.5;Ausencia;Ausencia;Ausencia;Presencia;5000;2800;40;4.3;3;0.53;0.53;4;4.3;<30;95;<100;<0.005;<0.001;<10.000;44;Extremadamente deteriorada
28;Náutico 400 m;QU062;25/8/2021;2021;invierno;13.6;7;8.97;8.24;Ausencia;Ausencia;Ausencia;Ausencia;2000;100;10;4.8;0.2;0.38;0.29;6.8;<30;30;<100;<0.005;<0.001;<0.010;<0.20;64;Muy deteriorada
28;Náutico 400 m;QU062;27/10/2021;2021;primavera;23.5;28;8.84;7.59;Ausencia;Ausencia;Ausencia;Ausencia;3000;100;34;5.1;1.6;0.32;0.29;5.8;36;16;<100;<0.005;<0.001;0.04213;<0.20;53;Muy deteriorada
